ID,Input_Text,Input_Language,Target_Language,Translated_Text,Context,Sentence_Length,Intent
306,Comment contacter le support ?,fr,en,How do I contact support?,Emergency,Medium,Translate
307,Чи є тут парковка?,uk,fr,Y a-t-il un parking ici ?,Technical,Short,Clarify
308,Чи можу я взяти це з собою?,uk,en,Can I take this to go?,Casual,Medium,Inform
309,¿Cómo funciona este programa?,es,uk,Як працює ця програма?,Travel,Short,Request
310,Як зв’язатися з підтримкою?,uk,fr,Comment contacter le support ?,Emergency,Short,Request
311,Як звати вашого собаку?,uk,fr,Comment s'appelle votre chien ?,Emergency,Short,Request
312,Quel est le taux de change aujourd'hui ?,fr,uk,Який сьогодні курс валют?,Travel,Medium,Request
313,"S'il vous plaît, expliquez encore.",fr,uk,"Будь ласка, поясніть це ще раз.",Emergency,Medium,Translate
314,¿Cuál es el tipo de cambio hoy?,es,uk,Який сьогодні курс валют?,Casual,Medium,Translate
315,¿Dónde puedo encontrar un hotel?,es,fr,Où puis-je trouver un hôtel ?,Formal,Medium,Inform
316,"Bonjour, comment vas-tu ?",fr,uk,"Привіт, як справи?",Emergency,Short,Request
317,¿Puedo devolver este artículo?,es,fr,Puis-je retourner cet article ?,Casual,Short,Translate
318,¿Puedo devolver este artículo?,es,uk,Чи можу я повернути цей товар?,Travel,Short,Request
319,Thank you for your attention.,en,fr,Merci pour votre attention.,Technical,Medium,Translate
320,Quel est le taux de change aujourd'hui ?,fr,es,¿Cuál es el tipo de cambio hoy?,Technical,Medium,Clarify
321,Can I take this to go?,en,fr,Puis-je emporter ceci ?,Casual,Medium,Translate
322,"¡Hola, cómo estás?",es,en,"Hello, how are you?",Travel,Short,Request
323,¿Qué es la inteligencia artificial?,es,en,What is artificial intelligence?,Casual,Medium,Clarify
324,Can I pay by card?,en,fr,Puis-je payer par carte ?,Travel,Medium,Request
325,¿Puedo pagar con tarjeta?,es,uk,Чи можу я оплатити карткою?,Travel,Short,Request
326,¿Dónde está mi teléfono?,es,fr,Où est mon téléphone ?,Travel,Short,Translate
327,What is your Wi-Fi password?,en,fr,Quel est le mot de passe Wi-Fi ?,Emergency,Medium,Translate
328,Où est mon téléphone ?,fr,en,Where is my phone?,Emergency,Medium,Translate
329,Що таке штучний інтелект?,uk,fr,Qu'est-ce que l'intelligence artificielle ?,Travel,Short,Request
330,J'ai froid.,fr,es,Tengo frío.,Technical,Short,Clarify
331,J'ai perdu mes clés.,fr,es,Perdí mis llaves.,Casual,Short,Inform
332,Puis-je essayer ceci ?,fr,es,¿Puedo probarme esto?,Formal,Short,Request
333,I need a translation of this document.,en,uk,Мені потрібен переклад цього документа.,Formal,Medium,Translate
334,Як довго триватиме ремонт?,uk,es,¿Cuánto tiempo tomará la reparación?,Formal,Short,Request
335,Це смачно!,uk,en,This is delicious!,Casual,Short,Translate
336,Je veux une tasse de café.,fr,es,Quiero una taza de café.,Travel,Medium,Inform
337,Comment contacter le support ?,fr,uk,Як зв’язатися з підтримкою?,Formal,Medium,Translate
338,Чи можу я взяти це з собою?,uk,fr,Puis-je emporter ceci ?,Emergency,Medium,Request
339,How to set up Wi-Fi?,en,es,¿Cómo configurar Wi-Fi?,Travel,Medium,Translate
340,Do you have a vegetarian menu?,en,fr,Avez-vous un menu végétarien ?,Casual,Medium,Translate
341,¿Dónde está mi teléfono?,es,en,Where is my phone?,Emergency,Short,Inform
342,¿Cómo configurar Wi-Fi?,es,fr,Comment configurer le Wi-Fi ?,Casual,Short,Inform
343,Чи йде дощ?,uk,es,¿Está lloviendo?,Casual,Short,Clarify
344,Чи йде дощ?,uk,es,¿Está lloviendo?,Formal,Short,Clarify
345,¿Está lloviendo?,es,uk,Чи йде дощ?,Formal,Short,Translate
346,Combien de temps prendra la réparation ?,fr,es,¿Cuánto tiempo tomará la reparación?,Casual,Medium,Clarify
347,Merci pour votre attention.,fr,es,Gracias por su atención.,Travel,Short,Inform
348,Where is the nearest pharmacy?,en,es,¿Dónde está la farmacia más cercana?,Emergency,Medium,Clarify
349,Чи можу я спробувати це?,uk,es,¿Puedo probarme esto?,Casual,Medium,Translate
350,This is delicious!,en,uk,Це смачно!,Travel,Short,Translate
351,Як зв’язатися з підтримкою?,uk,es,¿Cómo contacto con soporte?,Casual,Short,Request
352,Can I order a taxi?,en,uk,Чи можу я замовити таксі?,Technical,Medium,Clarify
353,¿Cuál es el tipo de cambio hoy?,es,uk,Який сьогодні курс валют?,Technical,Medium,Clarify
354,Combien ça coûte ?,fr,uk,Скільки це коштує?,Travel,Short,Translate
355,Combien ça coûte ?,fr,es,¿Cuánto cuesta?,Casual,Short,Translate
356,Скільки це коштує?,uk,en,How much does it cost?,Casual,Short,Inform
357,Comment configurer le Wi-Fi ?,fr,uk,Як налаштувати Wi-Fi?,Travel,Medium,Request
358,Puis-je payer par carte ?,fr,en,Can I pay by card?,Formal,Medium,Inform
359,Як далеко до аеропорту?,uk,es,¿A qué distancia está el aeropuerto?,Emergency,Short,Translate
360,Quiero una taza de café.,es,en,I want a cup of coffee.,Technical,Medium,Translate
361,How far is the airport?,en,uk,Як далеко до аеропорту?,Casual,Medium,Translate
362,Est-ce qu'il pleut ?,fr,uk,Чи йде дощ?,Formal,Short,Translate
363,Як працює ця програма?,uk,fr,Comment fonctionne ce programme ?,Casual,Short,Inform
364,How to get to the train station?,en,es,¿Cómo llegar a la estación de tren?,Formal,Medium,Translate
365,¿Puedo probarme esto?,es,uk,Чи можу я спробувати це?,Casual,Short,Inform
366,C'est délicieux !,fr,es,¡Esto es delicioso!,Travel,Short,Translate
367,Where is the library?,en,uk,Де знаходиться бібліотека?,Emergency,Short,Translate
368,"¡Hola, cómo estás?",es,uk,"Привіт, як справи?",Formal,Short,Request
369,¿Cuánto cuesta este libro?,es,en,How much is this book?,Casual,Short,Request
370,Мені подобається це місце.,uk,en,I like this place.,Formal,Short,Clarify
371,Where can I buy concert tickets?,en,fr,Où puis-je acheter des billets pour un concert ?,Formal,Medium,Translate
372,Can I return this item?,en,es,¿Puedo devolver este artículo?,Emergency,Medium,Request
373,Puis-je emporter ceci ?,fr,uk,Чи можу я взяти це з собою?,Technical,Short,Clarify
374,Où puis-je trouver un hôtel ?,fr,en,Where can I find a hotel?,Casual,Medium,Clarify
375,Чи можу я оплатити карткою?,uk,fr,Puis-je payer par carte ?,Formal,Medium,Request
376,¿Puedo devolver este artículo?,es,uk,Чи можу я повернути цей товар?,Casual,Short,Translate
377,¿Puedo pagar con tarjeta?,es,fr,Puis-je payer par carte ?,Travel,Short,Translate
378,Чи можу я замовити таксі?,uk,es,¿Puedo pedir un taxi?,Casual,Medium,Clarify
379,Y a-t-il un parking ici ?,fr,uk,Чи є тут парковка?,Travel,Medium,Request
380,Скільки коштує ця книга?,uk,fr,Combien coûte ce livre ?,Technical,Short,Clarify
381,Де я можу знайти готель?,uk,en,Where can I find a hotel?,Casual,Medium,Request
382,Скільки коштує квиток?,uk,fr,Combien coûte le billet ?,Technical,Short,Request
383,I like this place.,en,uk,Мені подобається це місце.,Formal,Short,Inform
384,Can I order a taxi?,en,es,¿Puedo pedir un taxi?,Casual,Medium,Request
385,C'est délicieux !,fr,es,¡Esto es delicioso!,Travel,Short,Clarify
386,Is there parking here?,en,uk,Чи є тут парковка?,Casual,Short,Translate
387,Чи є у вас вегетаріанське меню?,uk,es,¿Tienen menú vegetariano?,Casual,Medium,Inform
388,Чи можу я оплатити карткою?,uk,en,Can I pay by card?,Technical,Medium,Translate
389,What is artificial intelligence?,en,fr,Qu'est-ce que l'intelligence artificielle ?,Emergency,Short,Translate
390,Thank you for your attention.,en,uk,Дякую за вашу увагу.,Emergency,Medium,Request
391,Comment fonctionne ce programme ?,fr,uk,Як працює ця програма?,Emergency,Medium,Translate
392,Як працює ця програма?,uk,es,¿Cómo funciona este programa?,Technical,Short,Translate
393,How to connect a printer to the computer?,en,fr,Comment connecter une imprimante à l'ordinateur ?,Technical,Medium,Translate
394,Чи можу я спробувати це?,uk,fr,Puis-je essayer ceci ?,Travel,Medium,Translate
395,Qu'est-ce que l'intelligence artificielle ?,fr,uk,Що таке штучний інтелект?,Formal,Medium,Inform
396,How to get to the train station?,en,fr,Comment aller à la gare ?,Formal,Medium,Inform
397,"Por favor, explícalo de nuevo.",es,en,Please explain it again.,Casual,Medium,Translate
398,Чи є тут парковка?,uk,en,Is there parking here?,Casual,Short,Translate
399,Combien coûte le billet ?,fr,en,How much is the ticket?,Technical,Medium,Request
400,¿Cuánto cuesta el boleto?,es,en,How much is the ticket?,Casual,Short,Request
401,Comment s'appelle votre chien ?,fr,en,What is your dog's name?,Casual,Medium,Translate
402,Where is the library?,en,es,¿Dónde está la biblioteca?,Emergency,Short,Translate
403,J'ai besoin d'une traduction de ce document.,fr,uk,Мені потрібен переклад цього документа.,Technical,Medium,Translate
404,Чи є тут парковка?,uk,es,¿Hay estacionamiento aquí?,Formal,Short,Clarify
405,I want a cup of coffee.,en,fr,Je veux une tasse de café.,Travel,Medium,Translate
406,Чи є тут парковка?,uk,fr,Y a-t-il un parking ici ?,Technical,Short,Translate
407,Do you have any discounts?,en,fr,Avez-vous des réductions ?,Travel,Medium,Request
408,"Це терміново, викличте лікаря!",uk,fr,"C'est urgent, appelez un médecin !",Technical,Short,Inform
409,Where is my phone?,en,fr,Où est mon téléphone ?,Technical,Short,Request
410,"Це терміново, викличте лікаря!",uk,en,"It's urgent, call a doctor!",Travel,Short,Translate
411,J'ai besoin d'aide !,fr,uk,Мені потрібна допомога!,Emergency,Short,Translate
412,Quiero una taza de café.,es,en,I want a cup of coffee.,Travel,Medium,Translate
413,¿Cómo configurar Wi-Fi?,es,fr,Comment configurer le Wi-Fi ?,Formal,Short,Inform
414,What is artificial intelligence?,en,uk,Що таке штучний інтелект?,Travel,Short,Request
415,Мені холодно.,uk,fr,J'ai froid.,Emergency,Short,Request
416,Where is the library?,en,fr,Où est la bibliothèque ?,Formal,Short,Inform
417,Чи можу я взяти це з собою?,uk,en,Can I take this to go?,Travel,Medium,Request
418,J'ai besoin d'aide !,fr,uk,Мені потрібна допомога!,Casual,Short,Request
419,¿Puedo probarme esto?,es,fr,Puis-je essayer ceci ?,Technical,Short,Translate
420,Where is the nearest pharmacy?,en,fr,Où est la pharmacie la plus proche ?,Technical,Medium,Request
421,Puis-je essayer ceci ?,fr,uk,Чи можу я спробувати це?,Technical,Short,Request
422,Comment contacter le support ?,fr,uk,Як зв’язатися з підтримкою?,Casual,Medium,Translate
423,Gracias por su atención.,es,fr,Merci pour votre attention.,Casual,Short,Inform
424,¿Hay estacionamiento aquí?,es,uk,Чи є тут парковка?,Travel,Short,Translate
425,"Por favor, explícalo de nuevo.",es,en,Please explain it again.,Travel,Medium,Translate
426,Puis-je commander un taxi ?,fr,es,¿Puedo pedir un taxi?,Technical,Medium,Clarify
427,¿Hay estacionamiento aquí?,es,uk,Чи є тут парковка?,Technical,Short,Translate
428,¿Hay asientos libres en el restaurante?,es,uk,Чи є вільні місця в ресторані?,Formal,Medium,Request
429,This is delicious!,en,fr,C'est délicieux !,Emergency,Short,Translate
430,¿Qué es la inteligencia artificial?,es,uk,Що таке штучний інтелект?,Casual,Medium,Clarify
431,Is there parking here?,en,fr,Y a-t-il un parking ici ?,Emergency,Short,Translate
432,J'aime cet endroit.,fr,en,I like this place.,Technical,Short,Translate
433,Як довго триватиме ремонт?,uk,fr,Combien de temps prendra la réparation ?,Technical,Short,Translate
434,¿Puedo pedir un taxi?,es,en,Can I order a taxi?,Casual,Short,Request
435,Як звати вашого собаку?,uk,fr,Comment s'appelle votre chien ?,Formal,Short,Request
436,Can I take this to go?,en,uk,Чи можу я взяти це з собою?,Travel,Medium,Inform
437,¿Tienen descuentos?,es,en,Do you have any discounts?,Technical,Short,Inform
438,¿Dónde puedo encontrar un hotel?,es,fr,Où puis-je trouver un hôtel ?,Casual,Medium,Request
439,"Hello, how are you?",en,fr,"Bonjour, comment vas-tu ?",Travel,Short,Inform
440,¡Esto es delicioso!,es,en,This is delicious!,Formal,Short,Translate
441,Can I try this on?,en,fr,Puis-je essayer ceci ?,Formal,Medium,Translate
442,Чи можу я взяти це з собою?,uk,es,¿Puedo llevar esto para llevar?,Casual,Medium,Clarify
443,"S'il vous plaît, expliquez encore.",fr,uk,"Будь ласка, поясніть це ще раз.",Casual,Medium,Clarify
444,"Bonjour, comment vas-tu ?",fr,en,"Hello, how are you?",Technical,Short,Inform
445,Як звати вашого собаку?,uk,fr,Comment s'appelle votre chien ?,Emergency,Short,Translate
446,Чи є у вас знижки?,uk,fr,Avez-vous des réductions ?,Emergency,Medium,Inform
447,Чи можу я замовити таксі?,uk,fr,Puis-je commander un taxi ?,Travel,Medium,Translate
448,Combien ça coûte ?,fr,es,¿Cuánto cuesta?,Emergency,Short,Request
449,Скільки це коштує?,uk,en,How much does it cost?,Travel,Short,Request
450,Який час зараз?,uk,es,¿Qué hora es ahora?,Travel,Short,Request
451,Як дістатися до вокзалу?,uk,fr,Comment aller à la gare ?,Formal,Short,Clarify
452,I need help!,en,uk,Мені потрібна допомога!,Casual,Short,Request
453,Скільки коштує ця книга?,uk,fr,Combien coûte ce livre ?,Emergency,Short,Request
454,¿Qué hora es ahora?,es,en,What time is it now?,Formal,Short,Inform
455,I lost my keys.,en,es,Perdí mis llaves.,Formal,Short,Request
456,¿Puedo devolver este artículo?,es,uk,Чи можу я повернути цей товар?,Casual,Short,Translate
457,Який у вас пароль Wi-Fi?,uk,fr,Quel est le mot de passe Wi-Fi ?,Casual,Medium,Inform
458,I lost my keys.,en,es,Perdí mis llaves.,Casual,Short,Request
459,I want a cup of coffee.,en,uk,Я хочу чашку кави.,Formal,Medium,Clarify
460,Where is my phone?,en,fr,Où est mon téléphone ?,Casual,Short,Translate
461,¿Dónde puedo comprar entradas para un concierto?,es,en,Where can I buy concert tickets?,Travel,Medium,Request
462,Where is the library?,en,uk,Де знаходиться бібліотека?,Technical,Short,Request
463,¿Qué es la inteligencia artificial?,es,fr,Qu'est-ce que l'intelligence artificielle ?,Emergency,Medium,Translate
464,Can I return this item?,en,fr,Puis-je retourner cet article ?,Emergency,Medium,Request
465,¿Cuál es el tipo de cambio hoy?,es,fr,Quel est le taux de change aujourd'hui ?,Formal,Medium,Request
466,"¡Es urgente, llame a un médico!",es,fr,"C'est urgent, appelez un médecin !",Travel,Medium,Translate
467,¿Cuánto cuesta?,es,fr,Combien ça coûte ?,Emergency,Short,Inform
468,Як підключити принтер до комп'ютера?,uk,fr,Comment connecter une imprimante à l'ordinateur ?,Technical,Medium,Translate
469,Як далеко до аеропорту?,uk,fr,À quelle distance est l'aéroport ?,Casual,Short,Inform
470,What is artificial intelligence?,en,es,¿Qué es la inteligencia artificial?,Casual,Short,Translate
471,Comment fonctionne ce programme ?,fr,en,How does this program work?,Emergency,Medium,Inform
472,Я загубив свої ключі.,uk,fr,J'ai perdu mes clés.,Emergency,Short,Request
473,"Це терміново, викличте лікаря!",uk,en,"It's urgent, call a doctor!",Technical,Short,Translate
474,Y a-t-il un parking ici ?,fr,uk,Чи є тут парковка?,Casual,Medium,Translate
475,Чи можу я взяти це з собою?,uk,fr,Puis-je emporter ceci ?,Technical,Medium,Request
476,What is artificial intelligence?,en,fr,Qu'est-ce que l'intelligence artificielle ?,Formal,Short,Request
477,Як налаштувати Wi-Fi?,uk,es,¿Cómo configurar Wi-Fi?,Casual,Short,Translate
478,Y a-t-il un parking ici ?,fr,en,Is there parking here?,Casual,Medium,Inform
479,Мені подобається це місце.,uk,fr,J'aime cet endroit.,Casual,Short,Translate
480,Як підключити принтер до комп'ютера?,uk,fr,Comment connecter une imprimante à l'ordinateur ?,Casual,Medium,Request
481,What is your dog's name?,en,es,¿Cómo se llama tu perro?,Technical,Medium,Translate
482,Як налаштувати Wi-Fi?,uk,es,¿Cómo configurar Wi-Fi?,Travel,Short,Request
483,Мені подобається це місце.,uk,fr,J'aime cet endroit.,Technical,Short,Translate
484,¿Tienen menú vegetariano?,es,en,Do you have a vegetarian menu?,Casual,Short,Clarify
485,Мені подобається це місце.,uk,es,Me gusta este lugar.,Technical,Short,Translate
486,Де мій телефон?,uk,es,¿Dónde está mi teléfono?,Travel,Short,Translate
487,Is it raining?,en,fr,Est-ce qu'il pleut ?,Casual,Short,Request
488,"Por favor, explícalo de nuevo.",es,uk,"Будь ласка, поясніть це ще раз.",Emergency,Medium,Translate
489,Where is the library?,en,uk,Де знаходиться бібліотека?,Emergency,Short,Inform
490,Where can I buy concert tickets?,en,es,¿Dónde puedo comprar entradas para un concierto?,Technical,Medium,Translate
491,C'est délicieux !,fr,uk,Це смачно!,Formal,Short,Inform
492,"Будь ласка, поясніть це ще раз.",uk,en,Please explain it again.,Casual,Medium,Translate
493,Чи йде дощ?,uk,es,¿Está lloviendo?,Travel,Short,Translate
494,Де найближча аптека?,uk,es,¿Dónde está la farmacia más cercana?,Travel,Short,Request
495,Чи є вільні місця в ресторані?,uk,en,Are there free seats in the restaurant?,Casual,Medium,Request
496,Як зв’язатися з підтримкою?,uk,es,¿Cómo contacto con soporte?,Technical,Short,Request
497,"Bonjour, comment vas-tu ?",fr,uk,"Привіт, як справи?",Emergency,Short,Translate
498,Puis-je emporter ceci ?,fr,es,¿Puedo llevar esto para llevar?,Technical,Short,Clarify
499,Can I order a taxi?,en,es,¿Puedo pedir un taxi?,Emergency,Medium,Translate
500,Where can I buy concert tickets?,en,uk,Де я можу купити квитки на концерт?,Emergency,Medium,Translate
501,¿Está lloviendo?,es,fr,Est-ce qu'il pleut ?,Travel,Short,Translate
502,Як дістатися до вокзалу?,uk,en,How to get to the train station?,Technical,Short,Inform
503,¿Dónde puedo encontrar un hotel?,es,fr,Où puis-je trouver un hôtel ?,Technical,Medium,Clarify
504,J'ai froid.,fr,uk,Мені холодно.,Formal,Short,Translate
505,¿Dónde está mi teléfono?,es,en,Where is my phone?,Emergency,Short,Request
506,Puis-je essayer ceci ?,fr,uk,Чи можу я спробувати це?,Emergency,Short,Request
507,Я загубив свої ключі.,uk,en,I lost my keys.,Formal,Short,Translate
508,Avez-vous des réductions ?,fr,en,Do you have any discounts?,Emergency,Short,Clarify
509,"S'il vous plaît, expliquez encore.",fr,es,"Por favor, explícalo de nuevo.",Emergency,Medium,Inform
510,Can I pay by card?,en,uk,Чи можу я оплатити карткою?,Technical,Medium,Request
511,Where is the library?,en,fr,Où est la bibliothèque ?,Formal,Short,Request
512,I lost my keys.,en,fr,J'ai perdu mes clés.,Casual,Short,Request
513,Мені холодно.,uk,es,Tengo frío.,Formal,Short,Translate
514,¿Dónde está la biblioteca?,es,uk,Де знаходиться бібліотека?,Emergency,Short,Translate
515,Tengo frío.,es,en,I'm cold.,Technical,Short,Request
516,¿Tienen menú vegetariano?,es,en,Do you have a vegetarian menu?,Emergency,Short,Inform
517,Як довго триватиме ремонт?,uk,en,How long will the repair take?,Casual,Short,Request
518,Où est mon téléphone ?,fr,en,Where is my phone?,Formal,Medium,Translate
519,Combien coûte le billet ?,fr,es,¿Cuánto cuesta el boleto?,Emergency,Medium,Clarify
520,¿Cuánto cuesta?,es,fr,Combien ça coûte ?,Casual,Short,Inform
521,¿Hay estacionamiento aquí?,es,en,Is there parking here?,Technical,Short,Translate
522,Чи є тут парковка?,uk,es,¿Hay estacionamiento aquí?,Emergency,Short,Clarify
523,Який час зараз?,uk,es,¿Qué hora es ahora?,Travel,Short,Inform
524,Мені потрібна допомога!,uk,es,¡Necesito ayuda!,Casual,Short,Request
525,How do I contact support?,en,es,¿Cómo contacto con soporte?,Formal,Medium,Translate
526,How much is this book?,en,es,¿Cuánto cuesta este libro?,Technical,Medium,Request
527,Combien coûte le billet ?,fr,es,¿Cuánto cuesta el boleto?,Casual,Medium,Translate
528,¿A qué distancia está el aeropuerto?,es,uk,Як далеко до аеропорту?,Casual,Medium,Request
529,Чи можу я спробувати це?,uk,en,Can I try this on?,Technical,Medium,Inform
530,¿Puedo pedir un taxi?,es,en,Can I order a taxi?,Travel,Short,Translate
531,Скільки це коштує?,uk,fr,Combien ça coûte ?,Emergency,Short,Translate
532,¿Cómo conectar una impresora a la computadora?,es,en,How to connect a printer to the computer?,Formal,Medium,Request
533,¿Cómo funciona este programa?,es,fr,Comment fonctionne ce programme ?,Casual,Short,Clarify
534,¡Esto es delicioso!,es,fr,C'est délicieux !,Travel,Short,Translate
535,"Будь ласка, поясніть це ще раз.",uk,en,Please explain it again.,Travel,Medium,Clarify
536,Qu'est-ce que l'intelligence artificielle ?,fr,en,What is artificial intelligence?,Technical,Medium,Clarify
537,Combien ça coûte ?,fr,es,¿Cuánto cuesta?,Technical,Short,Request
538,C'est délicieux !,fr,es,¡Esto es delicioso!,Formal,Short,Clarify
539,Comment contacter le support ?,fr,en,How do I contact support?,Formal,Medium,Inform
540,Що таке штучний інтелект?,uk,es,¿Qué es la inteligencia artificial?,Casual,Short,Request
541,¿Dónde está la farmacia más cercana?,es,fr,Où est la pharmacie la plus proche ?,Travel,Medium,Request
542,Comment s'appelle votre chien ?,fr,es,¿Cómo se llama tu perro?,Travel,Medium,Request
543,Скільки це коштує?,uk,en,How much does it cost?,Travel,Short,Request
544,"C'est urgent, appelez un médecin !",fr,uk,"Це терміново, викличте лікаря!",Emergency,Medium,Translate
545,How to connect a printer to the computer?,en,fr,Comment connecter une imprimante à l'ordinateur ?,Casual,Medium,Translate
546,Мені потрібна допомога!,uk,en,I need help!,Technical,Short,Request
547,Can I take this to go?,en,es,¿Puedo llevar esto para llevar?,Travel,Medium,Request
548,Дякую за вашу увагу.,uk,es,Gracias por su atención.,Emergency,Short,Translate
549,¿Tienen descuentos?,es,en,Do you have any discounts?,Casual,Short,Inform
550,Чи можу я взяти це з собою?,uk,fr,Puis-je emporter ceci ?,Technical,Medium,Clarify
551,Where can I buy concert tickets?,en,fr,Où puis-je acheter des billets pour un concert ?,Technical,Medium,Request
552,Де я можу купити квитки на концерт?,uk,en,Where can I buy concert tickets?,Travel,Medium,Translate
553,¿Está lloviendo?,es,uk,Чи йде дощ?,Travel,Short,Translate
554,Où est mon téléphone ?,fr,es,¿Dónde está mi teléfono?,Formal,Medium,Translate
555,Мені потрібна допомога!,uk,fr,J'ai besoin d'aide !,Emergency,Short,Request
556,What is artificial intelligence?,en,uk,Що таке штучний інтелект?,Casual,Short,Request
557,How much does it cost?,en,fr,Combien ça coûte ?,Travel,Medium,Request
558,J'ai perdu mes clés.,fr,uk,Я загубив свої ключі.,Emergency,Short,Request
559,I need a translation of this document.,en,uk,Мені потрібен переклад цього документа.,Technical,Medium,Clarify
560,Дякую за вашу увагу.,uk,en,Thank you for your attention.,Technical,Short,Inform
561,¿Cómo se llama tu perro?,es,uk,Як звати вашого собаку?,Formal,Medium,Request
562,Où est la pharmacie la plus proche ?,fr,en,Where is the nearest pharmacy?,Casual,Medium,Translate
563,Чи можу я спробувати це?,uk,fr,Puis-je essayer ceci ?,Emergency,Medium,Translate
564,How much is the ticket?,en,es,¿Cuánto cuesta el boleto?,Emergency,Medium,Request
565,Quel est le mot de passe Wi-Fi ?,fr,es,¿Cuál es la contraseña del Wi-Fi?,Formal,Medium,Request
566,Як довго триватиме ремонт?,uk,es,¿Cuánto tiempo tomará la reparación?,Technical,Short,Translate
567,¿Hay asientos libres en el restaurante?,es,uk,Чи є вільні місця в ресторані?,Travel,Medium,Clarify
568,Are there free seats in the restaurant?,en,fr,Y a-t-il des places libres au restaurant ?,Technical,Medium,Inform
569,¿Hay asientos libres en el restaurante?,es,en,Are there free seats in the restaurant?,Casual,Medium,Request
570,Combien coûte le billet ?,fr,es,¿Cuánto cuesta el boleto?,Technical,Medium,Translate
571,How to connect a printer to the computer?,en,uk,Як підключити принтер до комп'ютера?,Travel,Medium,Translate
572,¿Cuánto cuesta?,es,uk,Скільки це коштує?,Emergency,Short,Inform
573,"Hello, how are you?",en,uk,"Привіт, як справи?",Travel,Short,Clarify
574,¿Puedo llevar esto para llevar?,es,en,Can I take this to go?,Technical,Medium,Inform
575,C'est délicieux !,fr,uk,Це смачно!,Emergency,Short,Inform
576,Як працює ця програма?,uk,es,¿Cómo funciona este programa?,Casual,Short,Translate
577,Do you have any discounts?,en,uk,Чи є у вас знижки?,Travel,Medium,Translate
578,Puis-je essayer ceci ?,fr,en,Can I try this on?,Casual,Short,Translate
579,¿Cómo conectar una impresora a la computadora?,es,en,How to connect a printer to the computer?,Casual,Medium,Clarify
580,Please explain it again.,en,uk,"Будь ласка, поясніть це ще раз.",Casual,Short,Request
581,Puis-je essayer ceci ?,fr,uk,Чи можу я спробувати це?,Formal,Short,Request
582,Where is my phone?,en,uk,Де мій телефон?,Travel,Short,Translate
583,Який час зараз?,uk,fr,Quelle heure est-il maintenant ?,Emergency,Short,Translate
584,I need help!,en,fr,J'ai besoin d'aide !,Technical,Short,Request
585,Is there parking here?,en,es,¿Hay estacionamiento aquí?,Emergency,Short,Clarify
586,Де я можу купити квитки на концерт?,uk,en,Where can I buy concert tickets?,Technical,Medium,Clarify
587,Скільки це коштує?,uk,en,How much does it cost?,Emergency,Short,Translate
588,I want a cup of coffee.,en,es,Quiero una taza de café.,Formal,Medium,Request
589,"Будь ласка, поясніть це ще раз.",uk,fr,"S'il vous plaît, expliquez encore.",Casual,Medium,Translate
590,Me gusta este lugar.,es,fr,J'aime cet endroit.,Travel,Short,Translate
591,Comment contacter le support ?,fr,es,¿Cómo contacto con soporte?,Travel,Medium,Translate
592,"¡Es urgente, llame a un médico!",es,fr,"C'est urgent, appelez un médecin !",Casual,Medium,Request
593,Combien coûte le billet ?,fr,en,How much is the ticket?,Formal,Medium,Request
594,This is delicious!,en,uk,Це смачно!,Formal,Short,Request
595,¿Cuánto cuesta el boleto?,es,fr,Combien coûte le billet ?,Travel,Short,Request
596,Can I pay by card?,en,fr,Puis-je payer par carte ?,Formal,Medium,Translate
597,Perdí mis llaves.,es,fr,J'ai perdu mes clés.,Emergency,Short,Translate
598,What is today's exchange rate?,en,es,¿Cuál es el tipo de cambio hoy?,Casual,Medium,Translate
599,Quel est le taux de change aujourd'hui ?,fr,en,What is today's exchange rate?,Formal,Medium,Translate
600,"¡Hola, cómo estás?",es,uk,"Привіт, як справи?",Travel,Short,Translate
601,Can I return this item?,en,uk,Чи можу я повернути цей товар?,Formal,Medium,Translate
602,Where is the nearest pharmacy?,en,uk,Де найближча аптека?,Casual,Medium,Inform
603,Can I order a taxi?,en,fr,Puis-je commander un taxi ?,Travel,Medium,Translate
604,¿Cómo configurar Wi-Fi?,es,fr,Comment configurer le Wi-Fi ?,Casual,Short,Translate
605,Quel est le mot de passe Wi-Fi ?,fr,es,¿Cuál es la contraseña del Wi-Fi?,Casual,Medium,Clarify
606,How does this program work?,en,uk,Як працює ця програма?,Technical,Medium,Inform
607,"Привіт, як справи?",uk,fr,"Bonjour, comment vas-tu ?",Casual,Short,Translate
608,Чи є тут парковка?,uk,en,Is there parking here?,Emergency,Short,Clarify
609,Чи можу я повернути цей товар?,uk,en,Can I return this item?,Casual,Medium,Clarify
610,Де знаходиться бібліотека?,uk,en,Where is the library?,Technical,Short,Request
611,Quelle heure est-il maintenant ?,fr,uk,Який час зараз?,Emergency,Medium,Request
612,Puis-je essayer ceci ?,fr,uk,Чи можу я спробувати це?,Technical,Short,Request
613,Combien ça coûte ?,fr,en,How much does it cost?,Emergency,Short,Request
614,Do you have a vegetarian menu?,en,es,¿Tienen menú vegetariano?,Casual,Medium,Request
615,Чи є вільні місця в ресторані?,uk,en,Are there free seats in the restaurant?,Emergency,Medium,Request
616,¡Necesito ayuda!,es,fr,J'ai besoin d'aide !,Technical,Short,Translate
617,¿Cuánto tiempo tomará la reparación?,es,en,How long will the repair take?,Technical,Medium,Inform
618,Де мій телефон?,uk,es,¿Dónde está mi teléfono?,Emergency,Short,Translate
